Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
1,01-06-2020,8:00 AM,Delhi,8478,473,19844
2,01-06-2020,8:00 AM,Haryana,1048,20,2091
3,01-06-2020,8:00 AM,Uttar Pradesh,4709,213,7823
4,02-06-2020,8:00 AM,Delhi,8746,523,20834
5,02-06-2020,8:00 AM,Haryana,1055,21,2356
6,02-06-2020,8:00 AM,Uttar Pradesh,4843,217,8075
7,03-06-2020,8:00 AM,Delhi,9243,556,22132
8,03-06-2020,8:00 AM,Haryana,1069,23,2652
9,03-06-2020,8:00 AM,Uttar Pradesh,5030,222,8361
10,04-06-2020,8:00 AM,Delhi,9542,606,23645
11,04-06-2020,8:00 AM,Haryana,1089,23,2954
12,04-06-2020,8:00 AM,Uttar Pradesh,5176,229,8729
13,05-06-2020,8:00 AM,Delhi,9898,650,25004
14,05-06-2020,8:00 AM,Haryana,2134,24,3281
15,05-06-2020,8:00 AM,Uttar Pradesh,5439,245,9237
16,06-06-2020,8:00 AM,Delhi,10315,708,26334
17,06-06-2020,8:00 AM,Haryana,2134,24,3597
18,06-06-2020,8:00 AM,Uttar Pradesh,5648,257,9733
19,07-06-2020,8:00 AM,Delhi,10664,761,27654
20,07-06-2020,8:00 AM,Haryana,2134,24,3952
21,07-06-2020,8:00 AM,Uttar Pradesh,5648,257,9733
22,08-06-2020,8:00 AM,Delhi,10664,761,27654
23,08-06-2020,8:00 AM,Haryana,2134,28,4448
24,08-06-2020,8:00 AM,Uttar Pradesh,6185,275,10536
25,09-06-2020,8:00 AM,Delhi,11357,874,29943
26,09-06-2020,8:00 AM,Haryana,2134,39,4854
27,09-06-2020,8:00 AM,Uttar Pradesh,6344,283,10947
28,10-06-2020,8:00 AM,Delhi,11861,905,31309
29,10-06-2020,8:00 AM,Haryana,2134,45,5209
30,10-06-2020,8:00 AM,Uttar Pradesh,6669,301,11335
31,11-06-2020,8:00 AM,Delhi,12245,984,32810
32,11-06-2020,8:00 AM,Haryana,2188,52,5579
33,11-06-2020,8:00 AM,Uttar Pradesh,6871,321,11610
34,12-06-2020,8:00 AM,Delhi,12731,1085,34687
35,12-06-2020,8:00 AM,Haryana,2260,64,5968
36,12-06-2020,8:00 AM,Uttar Pradesh,7292,345,12088
37,13-06-2020,8:00 AM,Delhi,13398,1214,36824
38,13-06-2020,8:00 AM,Haryana,2475,70,6334
39,13-06-2020,8:00 AM,Uttar Pradesh,7609,365,12616
40,14-06-2020,8:00 AM,Delhi,14945,1271,38958
41,14-06-2020,8:00 AM,Haryana,2803,78,6749
42,14-06-2020,8:00 AM,Uttar Pradesh,7875,385,13118
43,15-06-2020,8:00 AM,Delhi,15823,1327,41182
44,15-06-2020,8:00 AM,Haryana,3003,88,7208
45,15-06-2020,8:00 AM,Uttar Pradesh,8268,399,13615
46,16-06-2020,8:00 AM,Delhi,16427,1400,42829
47,16-06-2020,8:00 AM,Haryana,3565,100,7722
48,16-06-2020,8:00 AM,Uttar Pradesh,8268,399,13615
49,17-06-2020,8:00 AM,Delhi,16500,1837,44688
50,17-06-2020,8:00 AM,Haryana,3748,118,8272
51,17-06-2020,8:00 AM,Uttar Pradesh,8610,417,14091
52,18-06-2020,8:00 AM,Delhi,17457,1904,47102
53,18-06-2020,8:00 AM,Haryana,3952,130,8832
54,18-06-2020,8:00 AM,Uttar Pradesh,8904,435,14598
55,19-06-2020,8:00 AM,Delhi,21341,1969,49979
56,19-06-2020,8:00 AM,Haryana,4556,134,9218
57,19-06-2020,8:00 AM,Uttar Pradesh,9239,465,15181
58,20-06-2020,8:00 AM,Delhi,23569,2035,53116
59,20-06-2020,8:00 AM,Haryana,4889,144,9743
60,20-06-2020,8:00 AM,Uttar Pradesh,9638,488,15785
61,21-06-2020,8:00 AM,Delhi,31294,2112,56746
62,21-06-2020,8:00 AM,Haryana,5128,149,10223
63,21-06-2020,8:00 AM,Uttar Pradesh,9995,507,16594
64,22-06-2020,8:00 AM,Delhi,33013,2175,59746
65,22-06-2020,8:00 AM,Haryana,5557,160,10635
66,22-06-2020,8:00 AM,Uttar Pradesh,10995,550,17731
67,23-06-2020,8:00 AM,Delhi,36602,2233,62655
68,23-06-2020,8:00 AM,Haryana,5916,169,11025
69,23-06-2020,8:00 AM,Uttar Pradesh,11601,569,18322
70,24-06-2020,8:00 AM,Delhi,39313,2301,66602
71,24-06-2020,8:00 AM,Haryana,6498,178,11520
72,24-06-2020,8:00 AM,Uttar Pradesh,12116,588,18893
73,25-06-2020,8:00 AM,Delhi,41437,2365,70390
74,25-06-2020,8:00 AM,Haryana,6925,188,12010
75,25-06-2020,8:00 AM,Uttar Pradesh,12586,596,19557
76,26-06-2020,8:00 AM,Delhi,44765,2429,73780
77,26-06-2020,8:00 AM,Haryana,7380,198,12463
78,26-06-2020,8:00 AM,Uttar Pradesh,13119,611,20193
79,27-06-2020,8:00 AM,Delhi,47091,2492,77240
80,27-06-2020,8:00 AM,Haryana,8016,211,12884
81,27-06-2020,8:00 AM,Uttar Pradesh,13583,630,20943
82,28-06-2020,8:00 AM,Delhi,49301,2558,80188
83,28-06-2020,8:00 AM,Haryana,8472,218,13427
84,28-06-2020,8:00 AM,Uttar Pradesh,14215,649,21549
85,29-06-2020,8:00 AM,Delhi,52607,2623,83077
86,29-06-2020,8:00 AM,Haryana,8917,223,13829
87,29-06-2020,8:00 AM,Uttar Pradesh,14808,660,22147
88,30-06-2020,8:00 AM,Delhi,56235,2680,85161
89,30-06-2020,8:00 AM,Haryana,9502,232,14210
90,30-06-2020,8:00 AM,Uttar Pradesh,15506,672,22828
